State,County,High schoolers physically active (%) 2017 (PCT_HSPA17),Units,FIPS,FID
Arkansas,Crawford,21.400000000000006,Percent,5033,115
Arkansas,Crittenden,21.400000000000006,Percent,5035,119
Arkansas,Cross,21.400000000000006,Percent,5037,124
Arkansas,Dallas,21.400000000000006,Percent,5039,128
Arkansas,Desha,21.400000000000006,Percent,5041,130
Arkansas,Drew,21.400000000000006,Percent,5043,136
Arkansas,Faulkner,21.400000000000006,Percent,5045,141
Arkansas,Franklin,21.400000000000006,Percent,5047,144
Arkansas,Fulton,21.400000000000006,Percent,5049,146
Arkansas,Garland,21.400000000000006,Percent,5051,151
Arkansas,Grant,21.400000000000006,Percent,5053,155
Arkansas,Greene,21.400000000000006,Percent,5055,162
Arkansas,Hempstead,21.400000000000006,Percent,5057,172
Arkansas,Hot Spring,21.400000000000006,Percent,5059,184
Arkansas,Howard,21.400000000000006,Percent,5061,191
Arkansas,Independence,21.400000000000006,Percent,5063,200
Arkansas,Izard,21.400000000000006,Percent,5065,203
Arkansas,Jackson,21.400000000000006,Percent,5067,209
Arkansas,Jefferson,21.400000000000006,Percent,5069,213
Arkansas,Johnson,21.400000000000006,Percent,5071,218
Arkansas,Lafayette,21.400000000000006,Percent,5073,222
Arkansas,Lawrence,21.400000000000006,Percent,5075,230
Arkansas,Lee,21.400000000000006,Percent,5077,237
Arkansas,Lincoln,21.400000000000006,Percent,5079,244
Arkansas,Little River,21.400000000000006,Percent,5081,251
Arkansas,Logan,21.400000000000006,Percent,5083,258
Arkansas,Lonoke,21.400000000000006,Percent,5085,268
Arkansas,Madison,21.400000000000006,Percent,5087,277
Arkansas,Marion,21.400000000000006,Percent,5089,282
Arkansas,Miller,21.400000000000006,Percent,5091,287
Arkansas,Mississippi,21.400000000000006,Percent,5093,294
Arkansas,Monroe,21.400000000000006,Percent,5095,300
Arkansas,Montgomery,21.400000000000006,Percent,5097,304
Arkansas,Nevada,21.400000000000006,Percent,5099,307
Arkansas,Newton,21.400000000000006,Percent,5101,311
Arkansas,Ouachita,21.400000000000006,Percent,5103,316
Arkansas,Perry,21.400000000000006,Percent,5105,318
Arkansas,Phillips,21.400000000000006,Percent,5107,322
Arkansas,Pike,21.400000000000006,Percent,5109,327
Arkansas,Poinsett,21.400000000000006,Percent,5111,333
Arkansas,Polk,21.400000000000006,Percent,5113,337
Arkansas,Pope,21.400000000000006,Percent,5115,340
Arkansas,Prairie,21.400000000000006,Percent,5117,345
Arkansas,Pulaski,21.400000000000006,Percent,5119,350
Arkansas,Randolph,21.400000000000006,Percent,5121,353
Arkansas,St. Francis,21.400000000000006,Percent,5123,357
Arkansas,Saline,21.400000000000006,Percent,5125,360
Arkansas,Scott,21.400000000000006,Percent,5127,364
Arkansas,Searcy,21.400000000000006,Percent,5129,372
Arkansas,Sebastian,21.400000000000006,Percent,5131,378
Arkansas,Sevier,21.400000000000006,Percent,5133,390
Arkansas,Sharp,21.400000000000006,Percent,5135,394
Arkansas,Stone,21.400000000000006,Percent,5137,399
Arkansas,Union,21.400000000000006,Percent,5139,403
Arkansas,Van Buren,21.400000000000006,Percent,5141,407
Arkansas,Washington,21.400000000000006,Percent,5143,417
Arkansas,White,21.400000000000006,Percent,5145,428
Arkansas,Woodruff,21.400000000000006,Percent,5147,435
Arkansas,Yell,21.400000000000006,Percent,5149,438
California,Alameda,27.5,Percent,6001,457
California,Alpine,27.5,Percent,6003,461
California,Amador,27.5,Percent,6005,472
California,Butte,27.5,Percent,6007,486
California,Calaveras,27.5,Percent,6009,489
California,Colusa,27.5,Percent,6011,497
California,Contra Costa,27.5,Percent,6013,503
California,Del Norte,27.5,Percent,6015,511
California,El Dorado,27.5,Percent,6017,522
California,Fresno,27.5,Percent,6019,527
California,Glenn,27.5,Percent,6021,537
California,Humboldt,27.5,Percent,6023,551
California,Imperial,27.5,Percent,6025,557
California,Inyo,27.5,Percent,6027,562
California,Kern,27.5,Percent,6029,84
California,Kings,27.5,Percent,6031,94
California,Lake,27.5,Percent,6033,100
California,Lassen,27.5,Percent,6035,104
California,Los Angeles,27.5,Percent,6037,139
California,Madera,27.5,Percent,6039,153
California,Marin,27.5,Percent,6041,168
California,Mariposa,27.5,Percent,6043,178
California,Mendocino,27.5,Percent,6045,190
California,Merced,27.5,Percent,6047,204
California,Modoc,27.5,Percent,6049,207
California,Mono,27.5,Percent,6051,214
California,Monterey,27.5,Percent,6053,228
California,Napa,27.5,Percent,6055,236
California,Nevada,27.5,Percent,6057,243
California,Orange,27.5,Percent,6059,257
California,Placer,27.5,Percent,6061,266
California,Plumas,27.5,Percent,6063,275
California,Riverside,27.5,Percent,6065,281
California,Sacramento,27.5,Percent,6067,289
California,San Benito,27.5,Percent,6069,295
California,San Bernardino,27.5,Percent,6071,302
California,San Diego,27.5,Percent,6073,315
California,San Francisco,27.5,Percent,6075,331
California,San Joaquin,27.5,Percent,6077,339
California,San Luis Obispo,27.5,Percent,6079,351
California,San Mateo,27.5,Percent,6081,368
California,Santa Barbara,27.5,Percent,6083,391
California,Santa Clara,27.5,Percent,6085,406
California,Santa Cruz,27.5,Percent,6087,415
California,Shasta,27.5,Percent,6089,431
California,Sierra,27.5,Percent,6091,439
California,Siskiyou,27.5,Percent,6093,446
California,Solano,27.5,Percent,6095,453
California,Sonoma,27.5,Percent,6097,463
California,Stanislaus,27.5,Percent,6099,473
California,Sutter,27.5,Percent,6101,483
California,Tehama,27.5,Percent,6103,492
California,Trinity,27.5,Percent,6105,500
California,Tulare,27.5,Percent,6107,501
California,Tuolumne,27.5,Percent,6109,513
California,Ventura,27.5,Percent,6111,521
California,Yolo,27.5,Percent,6113,525
California,Yuba,27.5,Percent,6115,541
Colorado,Adams,27.400000000000006,Percent,8001,545
