State,County,Hawaiian or Pacific Islander low access to store (%) 2015 (PCT_LACCESS_NHPI15),Units,FIPS,FID
Arkansas,Baxter,0.00013520895955224484,Percent,5005,54
Arkansas,Benton,0.09408844026466687,Percent,5007,59
Arkansas,Boone,0.0063801623072558605,Percent,5009,62
Arkansas,Bradley,0.0,Percent,5011,68
Arkansas,Calhoun,0.0,Percent,5013,72
Arkansas,Carroll,0.023389449578749326,Percent,5015,74
Arkansas,Chicot,0.00847457627118644,Percent,5017,77
Arkansas,Clark,0.009096291472689455,Percent,5019,86
Arkansas,Clay,0.0062177456308046995,Percent,5021,93
Arkansas,Cleburne,0.0,Percent,5023,97
Arkansas,Cleveland,0.01150880449248176,Percent,5025,103
Arkansas,Columbia,0.014519804354869948,Percent,5027,107
Arkansas,Conway,0.0,Percent,5029,109
Arkansas,Craighead,0.00294958539415659,Percent,5031,114
Arkansas,Crawford,0.0013954046787240072,Percent,5033,115
Arkansas,Crittenden,0.006206129594197065,Percent,5035,119
Arkansas,Cross,0.016787912953644433,Percent,5037,124
Arkansas,Dallas,0.0,Percent,5039,128
Arkansas,Desha,0.0,Percent,5041,130
Arkansas,Drew,0.012028159936832893,Percent,5043,136
Arkansas,Faulkner,0.00670365974218992,Percent,5045,141
Arkansas,Franklin,0.07172413567016882,Percent,5047,144
Arkansas,Fulton,0.0003384791767903863,Percent,5049,146
Arkansas,Garland,0.005678736817610868,Percent,5051,151
Arkansas,Grant,0.005601299628883885,Percent,5053,155
Arkansas,Greene,0.003139011327435733,Percent,5055,162
Arkansas,Hempstead,0.009630040839852007,Percent,5057,172
Arkansas,Hot Spring,0.0,Percent,5059,184
Arkansas,Howard,0.009407317869009137,Percent,5061,191
Arkansas,Independence,0.0201768216993889,Percent,5063,200
Arkansas,Izard,0.0,Percent,5065,203
Arkansas,Jackson,0.0,Percent,5067,209
Arkansas,Jefferson,0.0007064931194231277,Percent,5069,213
Arkansas,Johnson,0.007941997143250586,Percent,5071,218
Arkansas,Lafayette,0.0,Percent,5073,222
Arkansas,Lawrence,0.005742176113681757,Percent,5075,230
Arkansas,Lee,0.0,Percent,5077,237
Arkansas,Lincoln,0.007075138070618084,Percent,5079,244
Arkansas,Little River,0.0,Percent,5081,251
Arkansas,Logan,0.0,Percent,5083,258
Arkansas,Lonoke,0.0018858186037579582,Percent,5085,268
Arkansas,Madison,0.029119125181478082,Percent,5087,277
Arkansas,Marion,0.012009847941201345,Percent,5089,282
Arkansas,Miller,0.01957482799631073,Percent,5091,287
Arkansas,Mississippi,0.0021269425057297937,Percent,5093,294
Arkansas,Monroe,0.0,Percent,5095,300
Arkansas,Montgomery,0.021081480288021502,Percent,5097,304
Arkansas,Nevada,0.0,Percent,5099,307
Arkansas,Newton,0.0,Percent,5101,311
Arkansas,Ouachita,0.0,Percent,5103,316
Arkansas,Perry,0.019147917064323217,Percent,5105,318
Arkansas,Phillips,0.004596221905593602,Percent,5107,322
Arkansas,Pike,0.0,Percent,5109,327
Arkansas,Poinsett,0.0,Percent,5111,333
Arkansas,Polk,0.0,Percent,5113,337
Arkansas,Pope,0.0031826091862042945,Percent,5115,340
Arkansas,Prairie,0.0,Percent,5117,345
Arkansas,Pulaski,0.01973380213624625,Percent,5119,350
Arkansas,Randolph,0.01669541975505376,Percent,5121,353
Arkansas,St. Francis,0.008331436311348998,Percent,5123,357
Arkansas,Saline,0.005120456378139285,Percent,5125,360
Arkansas,Scott,0.009577160499353869,Percent,5127,364
Arkansas,Searcy,0.012202563080078707,Percent,5129,372
Arkansas,Sebastian,0.004747814134530983,Percent,5131,378
Arkansas,Sevier,0.0,Percent,5133,390
Arkansas,Sharp,0.0034353318619882766,Percent,5135,394
Arkansas,Stone,0.0,Percent,5137,399
Arkansas,Union,0.004587793970257475,Percent,5139,403
Arkansas,Van Buren,0.0,Percent,5141,407
Arkansas,Washington,0.2740949312245266,Percent,5143,417
Arkansas,White,0.007784524323978166,Percent,5145,428
Arkansas,Woodruff,0.0,Percent,5147,435
Arkansas,Yell,0.0,Percent,5149,438
California,Alameda,0.034402880752924414,Percent,6001,457
California,Alpine,0.0,Percent,6003,461
California,Amador,0.04075447683290095,Percent,6005,472
California,Butte,0.03430967395988118,Percent,6007,486
California,Calaveras,0.01848198947788872,Percent,6009,489
California,Colusa,0.023870697241511227,Percent,6011,497
California,Contra Costa,0.0677106328135031,Percent,6013,503
California,Del Norte,0.017370541930427016,Percent,6015,511
California,El Dorado,0.03893813879874659,Percent,6017,522
California,Fresno,0.013664698259476811,Percent,6019,527
California,Glenn,0.010514110368791444,Percent,6021,537
California,Humboldt,0.020759634398661592,Percent,6023,551
California,Imperial,0.021996315047377955,Percent,6025,557
California,Inyo,0.0470649516370399,Percent,6027,562
California,Kern,0.025165954892165488,Percent,6029,84
California,Kings,0.044819563537480685,Percent,6031,94
California,Lake,0.030250889653242095,Percent,6033,100
California,Lassen,0.11425637467274738,Percent,6035,104
California,Los Angeles,0.014253913204790395,Percent,6037,139
California,Madera,0.015517087178099692,Percent,6039,153
California,Marin,0.014171581255010043,Percent,6041,168
California,Mariposa,0.03835406292502997,Percent,6043,178
California,Mendocino,0.02308506647700709,Percent,6045,190
California,Merced,0.021842555455531307,Percent,6047,204
California,Modoc,0.010324179112369698,Percent,6049,207
California,Mono,0.05389013028021103,Percent,6051,214
California,Monterey,0.07838503692062392,Percent,6053,228
California,Napa,0.020922713965398583,Percent,6055,236
California,Nevada,0.02148446549010196,Percent,6057,243
California,Orange,0.011438449936848822,Percent,6059,257
California,Placer,0.02389266642826184,Percent,6061,266
California,Plumas,0.0,Percent,6063,275
California,Riverside,0.05405982329673768,Percent,6065,281
California,Sacramento,0.13628228516767482,Percent,6067,289
California,San Benito,0.02031384851769509,Percent,6069,295
California,San Bernardino,0.07764916490415437,Percent,6071,302
California,San Diego,0.05657047738422997,Percent,6073,315
California,San Francisco,0.008823416003116669,Percent,6075,331
California,San Joaquin,0.06859693019966555,Percent,6077,339
California,San Luis Obispo,0.023497665539779517,Percent,6079,351
California,San Mateo,0.03326621365748646,Percent,6081,368
California,Santa Barbara,0.03447646120002501,Percent,6083,391
California,Santa Clara,0.021945513116262753,Percent,6085,406
California,Santa Cruz,0.01954910173606124,Percent,6087,415
California,Shasta,0.031982752704868216,Percent,6089,431
California,Sierra,0.037892946301112965,Percent,6091,439
California,Siskiyou,0.03099239174404165,Percent,6093,446
California,Solano,0.14762747265423426,Percent,6095,453
California,Sonoma,0.03320575335385717,Percent,6097,463
California,Stanislaus,0.05411555241179272,Percent,6099,473
California,Sutter,0.08786235345393352,Percent,6101,483
California,Tehama,0.020155406278969477,Percent,6103,492
California,Trinity,0.026530516419384302,Percent,6105,500
California,Tulare,0.02103326088724928,Percent,6107,501
California,Tuolumne,0.032991048491800595,Percent,6109,513
California,Ventura,0.024373509544607062,Percent,6111,521
California,Yolo,0.017108451256311906,Percent,6113,525
California,Yuba,0.08548398345723082,Percent,6115,541
Colorado,Adams,0.022383505314243313,Percent,8001,545
Colorado,Alamosa,0.0,Percent,8003,549
Colorado,Arapahoe,0.0189453341109669,Percent,8005,558
Colorado,Archuleta,0.03640552500295226,Percent,8007,560
Colorado,Baca,0.0,Percent,8009,563
Colorado,Bent,0.06154792964834497,Percent,8011,564
Colorado,Boulder,0.0033165288086247375,Percent,8013,570
Colorado,Broomfield,0.019688201088478772,Percent,8014,577
Colorado,Chaffee,0.00590045130382026,Percent,8015,582
Colorado,Cheyenne,0.05446622809618388,Percent,8017,587
