State,County,Seniors low access to store (%) 2015 (PCT_LACCESS_SENIORS15),Units,FIPS,FID
Arkansas,Arkansas,5.804742387440559,Percent,5001,46
Arkansas,Ashley,3.42469027405775,Percent,5003,50
Arkansas,Baxter,3.3134929977555467,Percent,5005,54
Arkansas,Benton,2.168771089007676,Percent,5007,59
Arkansas,Boone,4.636913310740753,Percent,5009,62
Arkansas,Bradley,2.133794590904614,Percent,5011,68
Arkansas,Calhoun,12.160801318658756,Percent,5013,72
Arkansas,Carroll,1.1647530692634083,Percent,5015,74
Arkansas,Chicot,12.06753940824,Percent,5017,77
Arkansas,Clark,5.019856786917286,Percent,5019,86
Arkansas,Clay,2.489630275767717,Percent,5021,93
Arkansas,Cleburne,1.596189477130932,Percent,5023,97
Arkansas,Cleveland,3.6754454586300493,Percent,5025,103
Arkansas,Columbia,2.2827011999514464,Percent,5027,107
Arkansas,Conway,2.8904899910710338,Percent,5029,109
Arkansas,Craighead,1.5751909145908152,Percent,5031,114
Arkansas,Crawford,1.9682916713985275,Percent,5033,115
Arkansas,Crittenden,1.2930283739071902,Percent,5035,119
Arkansas,Cross,2.142722636214572,Percent,5037,124
Arkansas,Dallas,7.325211581535572,Percent,5039,128
Arkansas,Desha,5.31771155276556,Percent,5041,130
Arkansas,Drew,3.281683521424107,Percent,5043,136
Arkansas,Faulkner,1.3096907682916539,Percent,5045,141
Arkansas,Franklin,0.7394526300710289,Percent,5047,144
Arkansas,Fulton,4.011753422268313,Percent,5049,146
Arkansas,Garland,6.8275813744826515,Percent,5051,151
Arkansas,Grant,1.6984015427571446,Percent,5053,155
Arkansas,Greene,3.1895206611736753,Percent,5055,162
Arkansas,Hempstead,4.866312980131053,Percent,5057,172
Arkansas,Hot Spring,2.8099614392263828,Percent,5059,184
Arkansas,Howard,7.404883921559577,Percent,5061,191
Arkansas,Independence,2.290497287285423,Percent,5063,200
Arkansas,Izard,0.24646727205278476,Percent,5065,203
Arkansas,Jackson,2.7708376431631385,Percent,5067,209
Arkansas,Jefferson,2.9843958886591464,Percent,5069,213
Arkansas,Johnson,1.044592669322314,Percent,5071,218
Arkansas,Lafayette,3.721793250178888,Percent,5073,222
Arkansas,Lawrence,5.104622539075194,Percent,5075,230
Arkansas,Lee,5.363258081147486,Percent,5077,237
Arkansas,Lincoln,1.6656100735941772,Percent,5079,244
Arkansas,Little River,2.336018680574436,Percent,5081,251
Arkansas,Logan,1.3596210285264752,Percent,5083,258
Arkansas,Lonoke,2.0118596420864447,Percent,5085,268
Arkansas,Madison,4.163535963775689,Percent,5087,277
Arkansas,Marion,3.2869908170748516,Percent,5089,282
Arkansas,Miller,4.715658155492661,Percent,5091,287
Arkansas,Mississippi,1.4192378382672912,Percent,5093,294
Arkansas,Monroe,2.5192096018037424,Percent,5095,300
Arkansas,Montgomery,4.812250863310647,Percent,5097,304
Arkansas,Nevada,6.0831017456730345,Percent,5099,307
Arkansas,Newton,8.640946723879269,Percent,5101,311
Arkansas,Ouachita,4.426236283046631,Percent,5103,316
Arkansas,Perry,2.6829738620123216,Percent,5105,318
Arkansas,Phillips,8.259426120407731,Percent,5107,322
Arkansas,Pike,4.608634716143983,Percent,5109,327
Arkansas,Poinsett,4.988087967512589,Percent,5111,333
