State,County,National School Lunch Program participants (% children) 2017 (PCT_NSLP17),Units,FIPS,FID
Alabama,Autauga,63.12658956791882,Percent,1001,5
Alabama,Baldwin,63.12658956791882,Percent,1003,20
Alabama,Barbour,63.12658956791882,Percent,1005,25
Alabama,Bibb,63.12658956791882,Percent,1007,29
Alabama,Blount,63.12658956791882,Percent,1009,33
Alabama,Bullock,63.12658956791882,Percent,1011,37
Alabama,Butler,63.12658956791882,Percent,1013,39
Alabama,Calhoun,63.12658956791882,Percent,1015,43
Alabama,Chambers,63.12658956791882,Percent,1017,47
Alabama,Cherokee,63.12658956791882,Percent,1019,51
Alabama,Chilton,63.12658956791882,Percent,1021,56
Alabama,Choctaw,63.12658956791882,Percent,1023,58
Alabama,Clarke,63.12658956791882,Percent,1025,61
Alabama,Clay,63.12658956791882,Percent,1027,65
Alabama,Cleburne,63.12658956791882,Percent,1029,67
Alabama,Coffee,63.12658956791882,Percent,1031,70
Alabama,Colbert,63.12658956791882,Percent,1033,73
Alabama,Conecuh,63.12658956791882,Percent,1035,80
Alabama,Coosa,63.12658956791882,Percent,1037,82
Alabama,Covington,63.12658956791882,Percent,1039,88
Alabama,Crenshaw,63.12658956791882,Percent,1041,90
Alabama,Cullman,63.12658956791882,Percent,1043,98
Alabama,Dale,63.12658956791882,Percent,1045,101
Alabama,Dallas,63.12658956791882,Percent,1047,110
Alabama,DeKalb,63.12658956791882,Percent,1049,112
Alabama,Elmore,63.12658956791882,Percent,1051,118
Alabama,Escambia,63.12658956791882,Percent,1053,122
Alabama,Etowah,63.12658956791882,Percent,1055,131
Alabama,Fayette,63.12658956791882,Percent,1057,134
Alabama,Franklin,63.12658956791882,Percent,1059,138
Alabama,Geneva,63.12658956791882,Percent,1061,140
Alabama,Greene,63.12658956791882,Percent,1063,148
Alabama,Hale,63.12658956791882,Percent,1065,150
Alabama,Henry,63.12658956791882,Percent,1067,158
Alabama,Houston,63.12658956791882,Percent,1069,160
Alabama,Jackson,63.12658956791882,Percent,1071,164
Alabama,Jefferson,63.12658956791882,Percent,1073,171
Alabama,Lamar,63.12658956791882,Percent,1075,174
Alabama,Lauderdale,63.12658956791882,Percent,1077,176
Alabama,Lawrence,63.12658956791882,Percent,1079,181
Alabama,Lee,63.12658956791882,Percent,1081,187
Alabama,Limestone,63.12658956791882,Percent,1083,197
Alabama,Lowndes,63.12658956791882,Percent,1085,205
Alabama,Macon,63.12658956791882,Percent,1087,210
Alabama,Madison,63.12658956791882,Percent,1089,217
Alabama,Marengo,63.12658956791882,Percent,1091,220
Alabama,Marion,63.12658956791882,Percent,1093,224
Alabama,Marshall,63.12658956791882,Percent,1095,231
Alabama,Mobile,63.12658956791882,Percent,1097,240
Alabama,Monroe,63.12658956791882,Percent,1099,250
Alabama,Montgomery,63.12658956791882,Percent,1101,256
Alabama,Morgan,63.12658956791882,Percent,1103,262
Alabama,Perry,63.12658956791882,Percent,1105,264
Alabama,Pickens,63.12658956791882,Percent,1107,273
Alabama,Pike,63.12658956791882,Percent,1109,279
Alabama,Randolph,63.12658956791882,Percent,1111,284
Alabama,Russell,63.12658956791882,Percent,1113,288
Alabama,St. Clair,63.12658956791882,Percent,1115,292
Alabama,Shelby,63.12658956791882,Percent,1117,298
Alabama,Sumter,63.12658956791882,Percent,1119,303
Alabama,Talladega,63.12658956791882,Percent,1121,306
Alabama,Tallapoosa,63.12658956791882,Percent,1123,308
Alabama,Tuscaloosa,63.12658956791882,Percent,1125,313
Alabama,Walker,63.12658956791882,Percent,1127,317
Alabama,Washington,63.12658956791882,Percent,1129,319
Alabama,Wilcox,63.12658956791882,Percent,1131,326
Alabama,Winston,63.12658956791882,Percent,1133,332
Alaska,Aleutians East,40.595829336485345,Percent,2013,346
Alaska,Aleutians West,40.595829336485345,Percent,2016,381
Alaska,Anchorage,40.595829336485345,Percent,2020,400
Alaska,Bethel,40.595829336485345,Percent,2050,411
Alaska,Bristol Bay,40.595829336485345,Percent,2060,423
Alaska,Denali,40.595829336485345,Percent,2068,426
Alaska,Dillingham,40.595829336485345,Percent,2070,445
Alaska,Fairbanks North Star,40.595829336485345,Percent,2090,454
Alaska,Haines,40.595829336485345,Percent,2100,462
Alaska,Hoonah-Angoon,40.595829336485345,Percent,2105,476
Alaska,Juneau,40.595829336485345,Percent,2110,482
Alaska,Kenai Peninsula,40.595829336485345,Percent,2122,494
Alaska,Ketchikan Gateway,40.595829336485345,Percent,2130,514
Alaska,Kodiak Island,40.595829336485345,Percent,2150,533
Alaska,Lake and Peninsula,40.595829336485345,Percent,2164,544
Alaska,Matanuska-Susitna,40.595829336485345,Percent,2170,556
Alaska,Nome,40.595829336485345,Percent,2180,571
Alaska,North Slope,40.595829336485345,Percent,2185,614
Alaska,Northwest Arctic,40.595829336485345,Percent,2188,638
Alaska,Petersburg,40.595829336485345,Percent,2195,645
Alaska,Prince of Wales-Hyder,40.595829336485345,Percent,2198,669
Alaska,Sitka,40.595829336485345,Percent,2220,679
Alaska,Skagway,40.595829336485345,Percent,2230,683
Alaska,Southeast Fairbanks,40.595829336485345,Percent,2240,690
Alaska,Valdez-Cordova,40.595829336485345,Percent,2261,710
Alaska,Wade Hampton,40.595829336485345,Percent,2270,725
Alaska,Wrangell,40.595829336485345,Percent,2275,733
Alaska,Yakutat,40.595829336485345,Percent,2282,744
Alaska,Yukon-Koyukuk,40.595829336485345,Percent,2290,753
Arizona,Apache,53.73013542493742,Percent,4001,761
Arizona,Cochise,53.73013542493742,Percent,4003,763
Arizona,Coconino,53.73013542493742,Percent,4005,771
Arizona,Gila,53.73013542493742,Percent,4007,787
Arizona,Graham,53.73013542493742,Percent,4009,0
Arizona,Greenlee,53.73013542493742,Percent,4011,1
Arizona,La Paz,53.73013542493742,Percent,4012,3
Arizona,Maricopa,53.73013542493742,Percent,4013,9
Arizona,Mohave,53.73013542493742,Percent,4015,15
Arizona,Navajo,53.73013542493742,Percent,4017,17
Arizona,Pima,53.73013542493742,Percent,4019,21
Arizona,Pinal,53.73013542493742,Percent,4021,26
Arizona,Santa Cruz,53.73013542493742,Percent,4023,32
Arizona,Yavapai,53.73013542493742,Percent,4025,35
Arizona,Yuma,53.73013542493742,Percent,4027,42
Arkansas,Arkansas,60.94207355297202,Percent,5001,46
Arkansas,Ashley,60.94207355297202,Percent,5003,50
Arkansas,Baxter,60.94207355297202,Percent,5005,54
Arkansas,Benton,60.94207355297202,Percent,5007,59
Arkansas,Boone,60.94207355297202,Percent,5009,62
Arkansas,Bradley,60.94207355297202,Percent,5011,68
Arkansas,Calhoun,60.94207355297202,Percent,5013,72
Arkansas,Carroll,60.94207355297202,Percent,5015,74
Arkansas,Chicot,60.94207355297202,Percent,5017,77
Arkansas,Clark,60.94207355297202,Percent,5019,86
Arkansas,Clay,60.94207355297202,Percent,5021,93
Arkansas,Cleburne,60.94207355297202,Percent,5023,97
Arkansas,Cleveland,60.94207355297202,Percent,5025,103
Arkansas,Columbia,60.94207355297202,Percent,5027,107
Arkansas,Conway,60.94207355297202,Percent,5029,109
Arkansas,Craighead,60.94207355297202,Percent,5031,114
Arkansas,Crawford,60.94207355297202,Percent,5033,115
Arkansas,Crittenden,60.94207355297202,Percent,5035,119
Arkansas,Cross,60.94207355297202,Percent,5037,124
Arkansas,Dallas,60.94207355297202,Percent,5039,128
Arkansas,Desha,60.94207355297202,Percent,5041,130
Arkansas,Drew,60.94207355297202,Percent,5043,136
Arkansas,Faulkner,60.94207355297202,Percent,5045,141
Arkansas,Franklin,60.94207355297202,Percent,5047,144
Arkansas,Fulton,60.94207355297202,Percent,5049,146
Arkansas,Garland,60.94207355297202,Percent,5051,151
Arkansas,Grant,60.94207355297202,Percent,5053,155
Arkansas,Greene,60.94207355297202,Percent,5055,162
Arkansas,Hempstead,60.94207355297202,Percent,5057,172
Arkansas,Hot Spring,60.94207355297202,Percent,5059,184
Arkansas,Howard,60.94207355297202,Percent,5061,191
Arkansas,Independence,60.94207355297202,Percent,5063,200
Arkansas,Izard,60.94207355297202,Percent,5065,203
Arkansas,Jackson,60.94207355297202,Percent,5067,209
Arkansas,Jefferson,60.94207355297202,Percent,5069,213
Arkansas,Johnson,60.94207355297202,Percent,5071,218
Arkansas,Lafayette,60.94207355297202,Percent,5073,222
Arkansas,Lawrence,60.94207355297202,Percent,5075,230
Arkansas,Lee,60.94207355297202,Percent,5077,237
Arkansas,Lincoln,60.94207355297202,Percent,5079,244
Arkansas,Little River,60.94207355297202,Percent,5081,251
Arkansas,Logan,60.94207355297202,Percent,5083,258
Arkansas,Lonoke,60.94207355297202,Percent,5085,268
Arkansas,Madison,60.94207355297202,Percent,5087,277
Arkansas,Marion,60.94207355297202,Percent,5089,282
Arkansas,Miller,60.94207355297202,Percent,5091,287
Arkansas,Mississippi,60.94207355297202,Percent,5093,294
Arkansas,Monroe,60.94207355297202,Percent,5095,300
Arkansas,Montgomery,60.94207355297202,Percent,5097,304
Arkansas,Nevada,60.94207355297202,Percent,5099,307
Arkansas,Newton,60.94207355297202,Percent,5101,311
Arkansas,Ouachita,60.94207355297202,Percent,5103,316
Arkansas,Perry,60.94207355297202,Percent,5105,318
Arkansas,Phillips,60.94207355297202,Percent,5107,322
Arkansas,Pike,60.94207355297202,Percent,5109,327
Arkansas,Poinsett,60.94207355297202,Percent,5111,333
Arkansas,Polk,60.94207355297202,Percent,5113,337
Arkansas,Pope,60.94207355297202,Percent,5115,340
Arkansas,Prairie,60.94207355297202,Percent,5117,345
Arkansas,Pulaski,60.94207355297202,Percent,5119,350
Arkansas,Randolph,60.94207355297202,Percent,5121,353
Arkansas,St. Francis,60.94207355297202,Percent,5123,357
Arkansas,Saline,60.94207355297202,Percent,5125,360
Arkansas,Scott,60.94207355297202,Percent,5127,364
Arkansas,Searcy,60.94207355297202,Percent,5129,372
Arkansas,Sebastian,60.94207355297202,Percent,5131,378
Arkansas,Sevier,60.94207355297202,Percent,5133,390
Arkansas,Sharp,60.94207355297202,Percent,5135,394
Arkansas,Stone,60.94207355297202,Percent,5137,399
Arkansas,Union,60.94207355297202,Percent,5139,403
Arkansas,Van Buren,60.94207355297202,Percent,5141,407
Arkansas,Washington,60.94207355297202,Percent,5143,417
Arkansas,White,60.94207355297202,Percent,5145,428
Arkansas,Woodruff,60.94207355297202,Percent,5147,435
Arkansas,Yell,60.94207355297202,Percent,5149,438
California,Alameda,48.56785141005939,Percent,6001,457
California,Alpine,48.56785141005939,Percent,6003,461
California,Amador,48.56785141005939,Percent,6005,472
California,Butte,48.56785141005939,Percent,6007,486
California,Calaveras,48.56785141005939,Percent,6009,489
California,Colusa,48.56785141005939,Percent,6011,497
California,Contra Costa,48.56785141005939,Percent,6013,503
California,Del Norte,48.56785141005939,Percent,6015,511
California,El Dorado,48.56785141005939,Percent,6017,522
California,Fresno,48.56785141005939,Percent,6019,527
California,Glenn,48.56785141005939,Percent,6021,537
California,Humboldt,48.56785141005939,Percent,6023,551
California,Imperial,48.56785141005939,Percent,6025,557
California,Inyo,48.56785141005939,Percent,6027,562
California,Kern,48.56785141005939,Percent,6029,84
California,Kings,48.56785141005939,Percent,6031,94
California,Lake,48.56785141005939,Percent,6033,100
California,Lassen,48.56785141005939,Percent,6035,104
California,Los Angeles,48.56785141005939,Percent,6037,139
California,Madera,48.56785141005939,Percent,6039,153
California,Marin,48.56785141005939,Percent,6041,168
California,Mariposa,48.56785141005939,Percent,6043,178
California,Mendocino,48.56785141005939,Percent,6045,190
California,Merced,48.56785141005939,Percent,6047,204
California,Modoc,48.56785141005939,Percent,6049,207
California,Mono,48.56785141005939,Percent,6051,214
California,Monterey,48.56785141005939,Percent,6053,228
California,Napa,48.56785141005939,Percent,6055,236
California,Nevada,48.56785141005939,Percent,6057,243
California,Orange,48.56785141005939,Percent,6059,257
California,Placer,48.56785141005939,Percent,6061,266
California,Plumas,48.56785141005939,Percent,6063,275
California,Riverside,48.56785141005939,Percent,6065,281
California,Sacramento,48.56785141005939,Percent,6067,289
California,San Benito,48.56785141005939,Percent,6069,295
California,San Bernardino,48.56785141005939,Percent,6071,302
California,San Diego,48.56785141005939,Percent,6073,315
California,San Francisco,48.56785141005939,Percent,6075,331
California,San Joaquin,48.56785141005939,Percent,6077,339
California,San Luis Obispo,48.56785141005939,Percent,6079,351
California,San Mateo,48.56785141005939,Percent,6081,368
California,Santa Barbara,48.56785141005939,Percent,6083,391
California,Santa Clara,48.56785141005939,Percent,6085,406
California,Santa Cruz,48.56785141005939,Percent,6087,415
California,Shasta,48.56785141005939,Percent,6089,431
California,Sierra,48.56785141005939,Percent,6091,439
California,Siskiyou,48.56785141005939,Percent,6093,446
California,Solano,48.56785141005939,Percent,6095,453
California,Sonoma,48.56785141005939,Percent,6097,463
California,Stanislaus,48.56785141005939,Percent,6099,473
California,Sutter,48.56785141005939,Percent,6101,483
California,Tehama,48.56785141005939,Percent,6103,492
California,Trinity,48.56785141005939,Percent,6105,500
California,Tulare,48.56785141005939,Percent,6107,501
California,Tuolumne,48.56785141005939,Percent,6109,513
California,Ventura,48.56785141005939,Percent,6111,521
California,Yolo,48.56785141005939,Percent,6113,525
California,Yuba,48.56785141005939,Percent,6115,541
Colorado,Adams,40.20001523308141,Percent,8001,545
Colorado,Alamosa,40.20001523308141,Percent,8003,549
Colorado,Arapahoe,40.20001523308141,Percent,8005,558
Colorado,Archuleta,40.20001523308141,Percent,8007,560
Colorado,Baca,40.20001523308141,Percent,8009,563
Colorado,Bent,40.20001523308141,Percent,8011,564
Colorado,Boulder,40.20001523308141,Percent,8013,570
Colorado,Broomfield,40.20001523308141,Percent,8014,577
Colorado,Chaffee,40.20001523308141,Percent,8015,582
Colorado,Cheyenne,40.20001523308141,Percent,8017,587
Colorado,Clear Creek,40.20001523308141,Percent,8019,591
Colorado,Conejos,40.20001523308141,Percent,8021,596
Colorado,Costilla,40.20001523308141,Percent,8023,599
Colorado,Crowley,40.20001523308141,Percent,8025,605
Colorado,Custer,40.20001523308141,Percent,8027,610
Colorado,Delta,40.20001523308141,Percent,8029,617
Colorado,Denver,40.20001523308141,Percent,8031,628
Colorado,Dolores,40.20001523308141,Percent,8033,636
Colorado,Douglas,40.20001523308141,Percent,8035,644
Colorado,Eagle,40.20001523308141,Percent,8037,648
Colorado,Elbert,40.20001523308141,Percent,8039,655
Colorado,El Paso,40.20001523308141,Percent,8041,661
Colorado,Fremont,40.20001523308141,Percent,8043,664
Colorado,Garfield,40.20001523308141,Percent,8045,667
Colorado,Gilpin,40.20001523308141,Percent,8047,672
Colorado,Grand,40.20001523308141,Percent,8049,677
Colorado,Gunnison,40.20001523308141,Percent,8051,682
Colorado,Hinsdale,40.20001523308141,Percent,8053,688
Colorado,Huerfano,40.20001523308141,Percent,8055,693
Colorado,Jackson,40.20001523308141,Percent,8057,701
Colorado,Jefferson,40.20001523308141,Percent,8059,706
Colorado,Kiowa,40.20001523308141,Percent,8061,711
Colorado,Kit Carson,40.20001523308141,Percent,8063,716
Colorado,Lake,40.20001523308141,Percent,8065,721
Colorado,La Plata,40.20001523308141,Percent,8067,727
Colorado,Larimer,40.20001523308141,Percent,8069,734
Colorado,Las Animas,40.20001523308141,Percent,8071,741
Colorado,Lincoln,40.20001523308141,Percent,8073,747
Colorado,Logan,40.20001523308141,Percent,8075,749
Colorado,Mesa,40.20001523308141,Percent,8077,751
Colorado,Mineral,40.20001523308141,Percent,8079,757
Colorado,Moffat,40.20001523308141,Percent,8081,758
Colorado,Montezuma,40.20001523308141,Percent,8083,766
Colorado,Montrose,40.20001523308141,Percent,8085,769
Colorado,Morgan,40.20001523308141,Percent,8087,775
Colorado,Otero,40.20001523308141,Percent,8089,777
Colorado,Ouray,40.20001523308141,Percent,8091,780
Colorado,Park,40.20001523308141,Percent,8093,782
Colorado,Phillips,40.20001523308141,Percent,8095,785
Colorado,Pitkin,40.20001523308141,Percent,8097,789
Colorado,Prowers,40.20001523308141,Percent,8099,792
Colorado,Pueblo,40.20001523308141,Percent,8101,795
Colorado,Rio Blanco,40.20001523308141,Percent,8103,799
Colorado,Rio Grande,40.20001523308141,Percent,8105,802
Colorado,Routt,40.20001523308141,Percent,8107,809
Colorado,Saguache,40.20001523308141,Percent,8109,811
Colorado,San Juan,40.20001523308141,Percent,8111,347
Colorado,San Miguel,40.20001523308141,Percent,8113,359
Colorado,Sedgwick,40.20001523308141,Percent,8115,366
Colorado,Summit,40.20001523308141,Percent,8117,373
Colorado,Teller,40.20001523308141,Percent,8119,375
Colorado,Washington,40.20001523308141,Percent,8121,377
Colorado,Weld,40.20001523308141,Percent,8123,382
Colorado,Yuma,40.20001523308141,Percent,8125,385
Connecticut,Fairfield,49.11988861214409,Percent,9001,410
Connecticut,Hartford,49.11988861214409,Percent,9003,432
Connecticut,Litchfield,49.11988861214409,Percent,9005,443
Connecticut,Middlesex,49.11988861214409,Percent,9007,450
Connecticut,New Haven,49.11988861214409,Percent,9009,466
Connecticut,New London,49.11988861214409,Percent,9011,517
Connecticut,Tolland,49.11988861214409,Percent,9013,524
Connecticut,Windham,49.11988861214409,Percent,9015,529
Delaware,Kent,66.52967769256105,Percent,10001,532
Delaware,New Castle,66.52967769256105,Percent,10003,536
Delaware,Sussex,66.52967769256105,Percent,10005,609
District of Columbia,District of Columbia,70.79928476447597,Percent,11001,630
Florida,Alachua,57.078373315991506,Percent,12001,639
Florida,Baker,57.078373315991506,Percent,12003,641
Florida,Bay,57.078373315991506,Percent,12005,658
Florida,Bradford,57.078373315991506,Percent,12007,665
Florida,Brevard,57.078373315991506,Percent,12009,686
Florida,Broward,57.078373315991506,Percent,12011,695
Florida,Calhoun,57.078373315991506,Percent,12013,699
Florida,Charlotte,57.078373315991506,Percent,12015,743
Florida,Citrus,57.078373315991506,Percent,12017,843
Florida,Clay,57.078373315991506,Percent,12019,852
Florida,Collier,57.078373315991506,Percent,12021,894
Florida,Columbia,57.078373315991506,Percent,12023,903
Florida,DeSoto,57.078373315991506,Percent,12027,906
Florida,Dixie,57.078373315991506,Percent,12029,918
Florida,Duval,57.078373315991506,Percent,12031,924
Florida,Escambia,57.078373315991506,Percent,12033,931
Florida,Flagler,57.078373315991506,Percent,12035,935
Florida,Franklin,57.078373315991506,Percent,12037,937
Florida,Gadsden,57.078373315991506,Percent,12039,938
Florida,Gilchrist,57.078373315991506,Percent,12041,939
Florida,Glades,57.078373315991506,Percent,12043,940
Florida,Gulf,57.078373315991506,Percent,12045,941
Florida,Hamilton,57.078373315991506,Percent,12047,942
Florida,Hardee,57.078373315991506,Percent,12049,943
Florida,Hendry,57.078373315991506,Percent,12051,944
Florida,Hernando,57.078373315991506,Percent,12053,945
Florida,Highlands,57.078373315991506,Percent,12055,946
Florida,Hillsborough,57.078373315991506,Percent,12057,947
Florida,Holmes,57.078373315991506,Percent,12059,948
Florida,Indian River,57.078373315991506,Percent,12061,949
Florida,Jackson,57.078373315991506,Percent,12063,950
Florida,Jefferson,57.078373315991506,Percent,12065,951
Florida,Lafayette,57.078373315991506,Percent,12067,952
Florida,Lake,57.078373315991506,Percent,12069,953
Florida,Lee,57.078373315991506,Percent,12071,954
Florida,Leon,57.078373315991506,Percent,12073,955
Florida,Levy,57.078373315991506,Percent,12075,956
Florida,Liberty,57.078373315991506,Percent,12077,957
Florida,Madison,57.078373315991506,Percent,12079,958
Florida,Manatee,57.078373315991506,Percent,12081,959
Florida,Marion,57.078373315991506,Percent,12083,960
