State,County,SNAP households low access to store (%) 2015 (PCT_LACCESS_SNAP15),Units,FIPS,FID
Arkansas,Arkansas,6.238788251083048,Percent,5001,46
Arkansas,Ashley,3.7458331390515,Percent,5003,50
Arkansas,Baxter,1.5924665535661884,Percent,5005,54
Arkansas,Benton,1.2656666721199337,Percent,5007,59
Arkansas,Boone,3.8734420325541405,Percent,5009,62
Arkansas,Bradley,2.7478295580676013,Percent,5011,68
Arkansas,Calhoun,8.21549449190283,Percent,5013,72
Arkansas,Carroll,1.0106918647209164,Percent,5015,74
Arkansas,Chicot,17.05570125179382,Percent,5017,77
Arkansas,Clark,5.995812974736582,Percent,5019,86
Arkansas,Clay,1.6472058043977063,Percent,5021,93
Arkansas,Cleburne,0.6045863671853313,Percent,5023,97
Arkansas,Cleveland,3.6567078610801813,Percent,5025,103
Arkansas,Columbia,2.975146066826294,Percent,5027,107
Arkansas,Conway,2.168355147372374,Percent,5029,109
Arkansas,Craighead,3.114054151630796,Percent,5031,114
Arkansas,Crawford,2.633405989381234,Percent,5033,115
Arkansas,Crittenden,2.308222136013308,Percent,5035,119
Arkansas,Cross,2.0764792159171237,Percent,5037,124
Arkansas,Dallas,5.487095183244817,Percent,5039,128
Arkansas,Desha,8.916026732372599,Percent,5041,130
Arkansas,Drew,3.4670412918833424,Percent,5043,136
Arkansas,Faulkner,1.572063429675196,Percent,5045,141
Arkansas,Franklin,0.9962016281866591,Percent,5047,144
Arkansas,Fulton,3.7412386301533105,Percent,5049,146
Arkansas,Garland,3.430769681114553,Percent,5051,151
Arkansas,Grant,1.3780120109361187,Percent,5053,155
Arkansas,Greene,3.617233946620566,Percent,5055,162
Arkansas,Hempstead,4.2099888848363385,Percent,5057,172
Arkansas,Hot Spring,2.6125292545617183,Percent,5059,184
Arkansas,Howard,4.776509298816589,Percent,5061,191
Arkansas,Independence,1.9761963369588353,Percent,5063,200
Arkansas,Izard,0.163068871379339,Percent,5065,203
Arkansas,Jackson,4.711233912582748,Percent,5067,209
Arkansas,Jefferson,2.85170366454765,Percent,5069,213
Arkansas,Johnson,0.4421745832465533,Percent,5071,218
Arkansas,Lafayette,3.967791760489302,Percent,5073,222
Arkansas,Lawrence,5.453483381178207,Percent,5075,230
Arkansas,Lee,13.670855022792772,Percent,5077,237
Arkansas,Lincoln,3.6685478478596147,Percent,5079,244
Arkansas,Little River,1.6329198964881224,Percent,5081,251
Arkansas,Logan,1.5840446942691981,Percent,5083,258
Arkansas,Lonoke,2.374143861558403,Percent,5085,268
Arkansas,Madison,3.082779705153061,Percent,5087,277
Arkansas,Marion,1.8113692721178114,Percent,5089,282
