State,County,Adult obesity rate 2017 (PCT_OBESE_ADULTS17),Units,FIPS,FID
Arkansas,Drew,35.0,Percent,5043,136
Arkansas,Faulkner,35.0,Percent,5045,141
Arkansas,Franklin,35.0,Percent,5047,144
Arkansas,Fulton,35.0,Percent,5049,146
Arkansas,Garland,35.0,Percent,5051,151
Arkansas,Grant,35.0,Percent,5053,155
Arkansas,Greene,35.0,Percent,5055,162
Arkansas,Hempstead,35.0,Percent,5057,172
Arkansas,Hot Spring,35.0,Percent,5059,184
Arkansas,Howard,35.0,Percent,5061,191
Arkansas,Independence,35.0,Percent,5063,200
Arkansas,Izard,35.0,Percent,5065,203
Arkansas,Jackson,35.0,Percent,5067,209
Arkansas,Jefferson,35.0,Percent,5069,213
Arkansas,Johnson,35.0,Percent,5071,218
Arkansas,Lafayette,35.0,Percent,5073,222
Arkansas,Lawrence,35.0,Percent,5075,230
Arkansas,Lee,35.0,Percent,5077,237
Arkansas,Lincoln,35.0,Percent,5079,244
Arkansas,Little River,35.0,Percent,5081,251
Arkansas,Logan,35.0,Percent,5083,258
Arkansas,Lonoke,35.0,Percent,5085,268
Arkansas,Madison,35.0,Percent,5087,277
Arkansas,Marion,35.0,Percent,5089,282
Arkansas,Miller,35.0,Percent,5091,287
Arkansas,Mississippi,35.0,Percent,5093,294
Arkansas,Monroe,35.0,Percent,5095,300
Arkansas,Montgomery,35.0,Percent,5097,304
Arkansas,Nevada,35.0,Percent,5099,307
Arkansas,Newton,35.0,Percent,5101,311
Arkansas,Ouachita,35.0,Percent,5103,316
Arkansas,Perry,35.0,Percent,5105,318
Arkansas,Phillips,35.0,Percent,5107,322
Arkansas,Pike,35.0,Percent,5109,327
Arkansas,Poinsett,35.0,Percent,5111,333
Arkansas,Polk,35.0,Percent,5113,337
Arkansas,Pope,35.0,Percent,5115,340
Arkansas,Prairie,35.0,Percent,5117,345
Arkansas,Pulaski,35.0,Percent,5119,350
Arkansas,Randolph,35.0,Percent,5121,353
Arkansas,St. Francis,35.0,Percent,5123,357
Arkansas,Saline,35.0,Percent,5125,360
Arkansas,Scott,35.0,Percent,5127,364
Arkansas,Searcy,35.0,Percent,5129,372
Arkansas,Sebastian,35.0,Percent,5131,378
Arkansas,Sevier,35.0,Percent,5133,390
Arkansas,Sharp,35.0,Percent,5135,394
Arkansas,Stone,35.0,Percent,5137,399
Arkansas,Union,35.0,Percent,5139,403
Arkansas,Van Buren,35.0,Percent,5141,407
Arkansas,Washington,35.0,Percent,5143,417
Arkansas,White,35.0,Percent,5145,428
Arkansas,Woodruff,35.0,Percent,5147,435
Arkansas,Yell,35.0,Percent,5149,438
California,Alameda,25.1,Percent,6001,457
California,Alpine,25.1,Percent,6003,461
California,Amador,25.1,Percent,6005,472
California,Butte,25.1,Percent,6007,486
California,Calaveras,25.1,Percent,6009,489
California,Colusa,25.1,Percent,6011,497
California,Contra Costa,25.1,Percent,6013,503
California,Del Norte,25.1,Percent,6015,511
California,El Dorado,25.1,Percent,6017,522
California,Fresno,25.1,Percent,6019,527
California,Glenn,25.1,Percent,6021,537
California,Humboldt,25.1,Percent,6023,551
California,Imperial,25.1,Percent,6025,557
California,Inyo,25.1,Percent,6027,562
California,Kern,25.1,Percent,6029,84
California,Kings,25.1,Percent,6031,94
California,Lake,25.1,Percent,6033,100
California,Lassen,25.1,Percent,6035,104
California,Los Angeles,25.1,Percent,6037,139
California,Madera,25.1,Percent,6039,153
California,Marin,25.1,Percent,6041,168
California,Mariposa,25.1,Percent,6043,178
California,Mendocino,25.1,Percent,6045,190
California,Merced,25.1,Percent,6047,204
California,Modoc,25.1,Percent,6049,207
California,Mono,25.1,Percent,6051,214
California,Monterey,25.1,Percent,6053,228
California,Napa,25.1,Percent,6055,236
California,Nevada,25.1,Percent,6057,243
California,Orange,25.1,Percent,6059,257
California,Placer,25.1,Percent,6061,266
California,Plumas,25.1,Percent,6063,275
California,Riverside,25.1,Percent,6065,281
California,Sacramento,25.1,Percent,6067,289
California,San Benito,25.1,Percent,6069,295
California,San Bernardino,25.1,Percent,6071,302
California,San Diego,25.1,Percent,6073,315
California,San Francisco,25.1,Percent,6075,331
California,San Joaquin,25.1,Percent,6077,339
California,San Luis Obispo,25.1,Percent,6079,351
California,San Mateo,25.1,Percent,6081,368
California,Santa Barbara,25.1,Percent,6083,391
California,Santa Clara,25.1,Percent,6085,406
California,Santa Cruz,25.1,Percent,6087,415
California,Shasta,25.1,Percent,6089,431
California,Sierra,25.1,Percent,6091,439
California,Siskiyou,25.1,Percent,6093,446
California,Solano,25.1,Percent,6095,453
California,Sonoma,25.1,Percent,6097,463
California,Stanislaus,25.1,Percent,6099,473
California,Sutter,25.1,Percent,6101,483
California,Tehama,25.1,Percent,6103,492
California,Trinity,25.1,Percent,6105,500
California,Tulare,25.1,Percent,6107,501
California,Tuolumne,25.1,Percent,6109,513
California,Ventura,25.1,Percent,6111,521
California,Yolo,25.1,Percent,6113,525
California,Yuba,25.1,Percent,6115,541
Colorado,Adams,22.6,Percent,8001,545
Colorado,Alamosa,22.6,Percent,8003,549
Colorado,Arapahoe,22.6,Percent,8005,558
Colorado,Archuleta,22.6,Percent,8007,560
Colorado,Baca,22.6,Percent,8009,563
Colorado,Bent,22.6,Percent,8011,564
Colorado,Boulder,22.6,Percent,8013,570
Colorado,Broomfield,22.6,Percent,8014,577
Colorado,Chaffee,22.6,Percent,8015,582
Colorado,Cheyenne,22.6,Percent,8017,587
Colorado,Clear Creek,22.6,Percent,8019,591
Colorado,Conejos,22.6,Percent,8021,596
Colorado,Costilla,22.6,Percent,8023,599
Colorado,Crowley,22.6,Percent,8025,605
Colorado,Custer,22.6,Percent,8027,610
Colorado,Delta,22.6,Percent,8029,617
Colorado,Denver,22.6,Percent,8031,628
Colorado,Dolores,22.6,Percent,8033,636
Colorado,Douglas,22.6,Percent,8035,644
Colorado,Eagle,22.6,Percent,8037,648
Colorado,Elbert,22.6,Percent,8039,655
Colorado,El Paso,22.6,Percent,8041,661
Colorado,Fremont,22.6,Percent,8043,664
Colorado,Garfield,22.6,Percent,8045,667
Colorado,Gilpin,22.6,Percent,8047,672
Colorado,Grand,22.6,Percent,8049,677
Colorado,Gunnison,22.6,Percent,8051,682
Colorado,Hinsdale,22.6,Percent,8053,688
Colorado,Huerfano,22.6,Percent,8055,693
Colorado,Jackson,22.6,Percent,8057,701
Colorado,Jefferson,22.6,Percent,8059,706
Colorado,Kiowa,22.6,Percent,8061,711
Colorado,Kit Carson,22.6,Percent,8063,716
Colorado,Lake,22.6,Percent,8065,721
Colorado,La Plata,22.6,Percent,8067,727
Colorado,Larimer,22.6,Percent,8069,734
Colorado,Las Animas,22.6,Percent,8071,741
Colorado,Lincoln,22.6,Percent,8073,747
Colorado,Logan,22.6,Percent,8075,749
Colorado,Mesa,22.6,Percent,8077,751
Colorado,Mineral,22.6,Percent,8079,757
Colorado,Moffat,22.6,Percent,8081,758
Colorado,Montezuma,22.6,Percent,8083,766
Colorado,Montrose,22.6,Percent,8085,769
Colorado,Morgan,22.6,Percent,8087,775
Colorado,Otero,22.6,Percent,8089,777
Colorado,Ouray,22.6,Percent,8091,780
Colorado,Park,22.6,Percent,8093,782
Colorado,Phillips,22.6,Percent,8095,785
Colorado,Pitkin,22.6,Percent,8097,789
Colorado,Prowers,22.6,Percent,8099,792
Colorado,Pueblo,22.6,Percent,8101,795
Colorado,Rio Blanco,22.6,Percent,8103,799
Colorado,Rio Grande,22.6,Percent,8105,802
Colorado,Routt,22.6,Percent,8107,809
Colorado,Saguache,22.6,Percent,8109,811
Colorado,San Juan,22.6,Percent,8111,347
Colorado,San Miguel,22.6,Percent,8113,359
Colorado,Sedgwick,22.6,Percent,8115,366
Colorado,Summit,22.6,Percent,8117,373
Colorado,Teller,22.6,Percent,8119,375
Colorado,Washington,22.6,Percent,8121,377
Colorado,Weld,22.6,Percent,8123,382
Colorado,Yuma,22.6,Percent,8125,385
Connecticut,Fairfield,26.9,Percent,9001,410
Connecticut,Hartford,26.9,Percent,9003,432
Connecticut,Litchfield,26.9,Percent,9005,443
Connecticut,Middlesex,26.9,Percent,9007,450
Connecticut,New Haven,26.9,Percent,9009,466
Connecticut,New London,26.9,Percent,9011,517
Connecticut,Tolland,26.9,Percent,9013,524
Connecticut,Windham,26.9,Percent,9015,529
Delaware,Kent,31.8,Percent,10001,532
Delaware,New Castle,31.8,Percent,10003,536
Delaware,Sussex,31.8,Percent,10005,609
District of Columbia,District of Columbia,22.9,Percent,11001,630
Florida,Alachua,28.4,Percent,12001,639
Florida,Baker,28.4,Percent,12003,641
Florida,Bay,28.4,Percent,12005,658
Florida,Bradford,28.4,Percent,12007,665
Florida,Brevard,28.4,Percent,12009,686
Florida,Broward,28.4,Percent,12011,695
Florida,Calhoun,28.4,Percent,12013,699
Florida,Charlotte,28.4,Percent,12015,743
Florida,Citrus,28.4,Percent,12017,843
Florida,Clay,28.4,Percent,12019,852
Florida,Collier,28.4,Percent,12021,894
Florida,Columbia,28.4,Percent,12023,903
Florida,DeSoto,28.4,Percent,12027,906
Florida,Dixie,28.4,Percent,12029,918
Florida,Duval,28.4,Percent,12031,924
Florida,Escambia,28.4,Percent,12033,931
Florida,Flagler,28.4,Percent,12035,935
Florida,Franklin,28.4,Percent,12037,937
Florida,Gadsden,28.4,Percent,12039,938
Florida,Gilchrist,28.4,Percent,12041,939
Florida,Glades,28.4,Percent,12043,940
Florida,Gulf,28.4,Percent,12045,941
Florida,Hamilton,28.4,Percent,12047,942
Florida,Hardee,28.4,Percent,12049,943
Florida,Hendry,28.4,Percent,12051,944
Florida,Hernando,28.4,Percent,12053,945
Florida,Highlands,28.4,Percent,12055,946
Florida,Hillsborough,28.4,Percent,12057,947
Florida,Holmes,28.4,Percent,12059,948
Florida,Indian River,28.4,Percent,12061,949
Florida,Jackson,28.4,Percent,12063,950
Florida,Jefferson,28.4,Percent,12065,951
Florida,Lafayette,28.4,Percent,12067,952
Florida,Lake,28.4,Percent,12069,953
Florida,Lee,28.4,Percent,12071,954
Florida,Leon,28.4,Percent,12073,955
Florida,Levy,28.4,Percent,12075,956
Florida,Liberty,28.4,Percent,12077,957
Florida,Madison,28.4,Percent,12079,958
Florida,Manatee,28.4,Percent,12081,959
Florida,Marion,28.4,Percent,12083,960
Florida,Martin,28.4,Percent,12085,961
Florida,Miami-Dade,28.4,Percent,12086,962
Florida,Monroe,28.4,Percent,12087,963
Florida,Nassau,28.4,Percent,12089,964
Florida,Okaloosa,28.4,Percent,12091,965
Florida,Okeechobee,28.4,Percent,12093,966
Florida,Orange,28.4,Percent,12095,967
Florida,Osceola,28.4,Percent,12097,968
Florida,Palm Beach,28.4,Percent,12099,969
Florida,Pasco,28.4,Percent,12101,970
Florida,Pinellas,28.4,Percent,12103,971
Florida,Polk,28.4,Percent,12105,972
Florida,Putnam,28.4,Percent,12107,973
Florida,St. Johns,28.4,Percent,12109,974
Florida,St. Lucie,28.4,Percent,12111,975
Florida,Santa Rosa,28.4,Percent,12113,976
Florida,Sarasota,28.4,Percent,12115,977
Florida,Seminole,28.4,Percent,12117,978
Florida,Sumter,28.4,Percent,12119,979
Florida,Suwannee,28.4,Percent,12121,980
Florida,Taylor,28.4,Percent,12123,981
Florida,Union,28.4,Percent,12125,982
Florida,Volusia,28.4,Percent,12127,983
Florida,Wakulla,28.4,Percent,12129,984
Florida,Walton,28.4,Percent,12131,985
Florida,Washington,28.4,Percent,12133,986
Georgia,Appling,31.6,Percent,13001,987
Georgia,Atkinson,31.6,Percent,13003,988
Georgia,Bacon,31.6,Percent,13005,989
Georgia,Baker,31.6,Percent,13007,990
Georgia,Baldwin,31.6,Percent,13009,991
Georgia,Banks,31.6,Percent,13011,992
Georgia,Barrow,31.6,Percent,13013,993
Georgia,Bartow,31.6,Percent,13015,994
Georgia,Ben Hill,31.6,Percent,13017,995
Georgia,Berrien,31.6,Percent,13019,996
Georgia,Bibb,31.6,Percent,13021,997
Georgia,Bleckley,31.6,Percent,13023,998
Georgia,Brantley,31.6,Percent,13025,999
Georgia,Brooks,31.6,Percent,13027,565
Georgia,Bryan,31.6,Percent,13029,573
Georgia,Bulloch,31.6,Percent,13031,579
Georgia,Burke,31.6,Percent,13033,583
Georgia,Butts,31.6,Percent,13035,588
Georgia,Calhoun,31.6,Percent,13037,592
Georgia,Camden,31.6,Percent,13039,603
Georgia,Candler,31.6,Percent,13043,616
Georgia,Carroll,31.6,Percent,13045,620
Georgia,Catoosa,31.6,Percent,13047,626
Georgia,Charlton,31.6,Percent,13049,635
Georgia,Chatham,31.6,Percent,13051,646
