State,County,Multiracial low access to store (%) 2015 (PCT_LACCESS_MULTIR15),Units,FIPS,FID
Arizona,Yuma,4.487683391130789,Percent,4027,42
Arkansas,Arkansas,1.4327097507916662,Percent,5001,46
Arkansas,Ashley,0.8804304912543908,Percent,5003,50
Arkansas,Baxter,0.22618448560364654,Percent,5005,54
Arkansas,Benton,2.2673041097046163,Percent,5007,59
Arkansas,Boone,0.5144910568075197,Percent,5009,62
Arkansas,Bradley,0.7448269705358342,Percent,5011,68
Arkansas,Calhoun,1.5707494533667492,Percent,5013,72
Arkansas,Carroll,0.6676913882391824,Percent,5015,74
Arkansas,Chicot,2.4764038098205257,Percent,5017,77
Arkansas,Clark,2.1793224095251316,Percent,5019,86
Arkansas,Clay,0.1465109019958024,Percent,5021,93
Arkansas,Cleburne,0.11277867977447709,Percent,5023,97
Arkansas,Cleveland,0.49502627116828635,Percent,5025,103
Arkansas,Columbia,0.23741471932697908,Percent,5027,107
Arkansas,Conway,0.49918264182742916,Percent,5029,109
Arkansas,Craighead,0.8414643490791379,Percent,5031,114
Arkansas,Crawford,1.6088203443699975,Percent,5033,115
Arkansas,Crittenden,0.241074761586419,Percent,5035,119
Arkansas,Cross,0.27864387245011246,Percent,5037,124
Arkansas,Dallas,1.0572292661239662,Percent,5039,128
Arkansas,Desha,0.9388381605471018,Percent,5041,130
Arkansas,Drew,0.6672452514626452,Percent,5043,136
Arkansas,Faulkner,0.7059852762848468,Percent,5045,141
Arkansas,Franklin,0.088391497024608,Percent,5047,144
Arkansas,Fulton,0.19931344905815435,Percent,5049,146
Arkansas,Garland,1.2155345877008146,Percent,5051,151
Arkansas,Grant,0.7680096749915419,Percent,5053,155
Arkansas,Greene,0.605747403085992,Percent,5055,162
Arkansas,Hempstead,2.487325328870437,Percent,5057,172
Arkansas,Hot Spring,0.44298164537060714,Percent,5059,184
Arkansas,Howard,2.8466492737966784,Percent,5061,191
Arkansas,Independence,0.8438649831589297,Percent,5063,200
Arkansas,Izard,0.017863095788109448,Percent,5065,203
Arkansas,Jackson,0.40346455163377337,Percent,5067,209
Arkansas,Jefferson,0.3381801196491173,Percent,5069,213
Arkansas,Johnson,0.5574717660152663,Percent,5071,218
Arkansas,Lafayette,0.21801551881638195,Percent,5073,222
Arkansas,Lawrence,0.40114883526690437,Percent,5075,230
Arkansas,Lee,0.7976216409911339,Percent,5077,237
Arkansas,Lincoln,1.0491823425149427,Percent,5079,244
Arkansas,Little River,0.6878468766290692,Percent,5081,251
Arkansas,Logan,0.269775544318908,Percent,5083,258
Arkansas,Lonoke,0.5567850906542088,Percent,5085,268
Arkansas,Madison,0.44199643660355664,Percent,5087,277
Arkansas,Marion,0.29448340687373564,Percent,5089,282
Arkansas,Miller,0.8138059215690397,Percent,5091,287
Arkansas,Mississippi,0.4800323472558176,Percent,5093,294
Arkansas,Monroe,0.12736343546532702,Percent,5095,300
Arkansas,Montgomery,0.5572212585265099,Percent,5097,304
Arkansas,Nevada,0.402826456748006,Percent,5099,307
Arkansas,Newton,1.430025473770192,Percent,5101,311
Arkansas,Ouachita,0.7895102271852564,Percent,5103,316
Arkansas,Perry,0.2722192051840345,Percent,5105,318
Arkansas,Phillips,0.8342691816116377,Percent,5107,322
Arkansas,Pike,0.47902343668491454,Percent,5109,327
Arkansas,Poinsett,0.94184910870251,Percent,5111,333
Arkansas,Polk,3.065376134507628,Percent,5113,337
Arkansas,Pope,1.2062541622649108,Percent,5115,340
Arkansas,Prairie,0.5215494188428205,Percent,5117,345
Arkansas,Pulaski,1.3613932055135336,Percent,5119,350
Arkansas,Randolph,0.793646680082865,Percent,5121,353
Arkansas,St. Francis,0.8014613449410396,Percent,5123,357
Arkansas,Saline,0.8282232937515153,Percent,5125,360
Arkansas,Scott,0.5480646458841584,Percent,5127,364
Arkansas,Searcy,0.8736627694771921,Percent,5129,372
Arkansas,Sebastian,0.7300085100383684,Percent,5131,378
Arkansas,Sevier,4.665625168681873,Percent,5133,390
Arkansas,Sharp,0.34446707120899506,Percent,5135,394
Arkansas,Stone,0.4596643504787389,Percent,5137,399
Arkansas,Union,0.8173325097308821,Percent,5139,403
Arkansas,Van Buren,0.34106623218089505,Percent,5141,407
Arkansas,Washington,1.7799113615365818,Percent,5143,417
Arkansas,White,0.5102205695405599,Percent,5145,428
Arkansas,Woodruff,0.14276974911991736,Percent,5147,435
Arkansas,Yell,0.6741552004006895,Percent,5149,438
California,Alameda,0.7219517040815059,Percent,6001,457
California,Alpine,1.9343190328512172,Percent,6003,461
California,Amador,1.3884269418225696,Percent,6005,472
California,Butte,1.7265059938354637,Percent,6007,486
California,Calaveras,0.8058980979813529,Percent,6009,489
California,Colusa,1.5753482704293431,Percent,6011,497
California,Contra Costa,2.279817575634699,Percent,6013,503
California,Del Norte,3.4951600393008526,Percent,6015,511
California,El Dorado,2.1055298786545196,Percent,6017,522
California,Fresno,2.2945601321947766,Percent,6019,527
California,Glenn,1.3486897146145154,Percent,6021,537
California,Humboldt,1.344993582052985,Percent,6023,551
California,Imperial,4.461933156688932,Percent,6025,557
California,Inyo,3.7692583066813814,Percent,6027,562
California,Kern,3.2686407854080897,Percent,6029,84
California,Kings,5.610927485236584,Percent,6031,94
California,Lake,2.7652889844827184,Percent,6033,100
California,Lassen,9.479707287879496,Percent,6035,104
California,Los Angeles,1.1792003193181415,Percent,6037,139
California,Madera,6.25784423700006,Percent,6039,153
California,Marin,0.8419572362656959,Percent,6041,168
California,Mariposa,1.2956984451228755,Percent,6043,178
California,Mendocino,2.6781806477408154,Percent,6045,190
California,Merced,4.469855643623633,Percent,6047,204
California,Modoc,2.5473844315774,Percent,6049,207
California,Mono,4.4326682062444585,Percent,6051,214
California,Monterey,2.641894975609543,Percent,6053,228
California,Napa,1.0188012333068712,Percent,6055,236
California,Nevada,1.7363960829108682,Percent,6057,243
California,Orange,0.5629938440404394,Percent,6059,257
